                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.80658,                0.57995,                 1.1428,                0.62696,                 0.6198,                0.64003,                0.42474,                 1.2028,                0.78887,                 1.3351,             0.00092825,             0.00092825,             0.00092825
                     81,                0.79828,                0.57416,                 1.1351,                0.70671,                 0.7318,                0.74124,                0.47535,                 1.2051,                0.75305,                 1.3388,             0.00092413,             0.00092413,             0.00092413
                     82,                0.79227,                0.57469,                 1.1457,                0.75149,                0.70741,                0.70909,                0.45022,                 1.2222,                0.77795,                 1.3478,                0.00092,                0.00092,                0.00092
                     83,                0.79301,                0.57176,                 1.1339,                0.75725,                0.70895,                0.71805,                0.45097,                 1.2288,                0.80309,                  1.362,             0.00091588,             0.00091588,             0.00091588
                     84,                0.78453,                0.56013,                 1.1343,                0.79221,                0.71317,                0.72204,                0.45192,                 1.2205,                 0.7734,                 1.3358,             0.00091175,             0.00091175,             0.00091175
                     85,                0.80188,                0.57193,                 1.1395,                0.79568,                0.69716,                0.69267,                0.43485,                 1.2301,                0.80975,                 1.3547,             0.00090763,             0.00090763,             0.00090763
                     86,                0.79064,                0.57741,                 1.1381,                0.78943,                0.73748,                0.75563,                0.47127,                   1.23,                0.79527,                 1.3663,              0.0009035,              0.0009035,              0.0009035
                     87,                0.79173,                0.57435,                 1.1378,                0.75656,                 0.6803,                0.70657,                 0.4391,                 1.2233,                 0.8403,                 1.3426,             0.00089938,             0.00089938,             0.00089938
                     88,                0.78366,                0.56125,                  1.133,                0.67656,                0.51875,                0.62094,                0.39439,                 1.2173,                0.80537,                 1.3422,             0.00089525,             0.00089525,             0.00089525
                     89,                0.77969,                0.56087,                 1.1325,                0.75562,                0.75654,                0.77789,                0.47406,                 1.1868,                0.74891,                 1.3345,             0.00089112,             0.00089112,             0.00089112
                     90,                0.78263,                0.56741,                 1.1347,                0.74229,                  0.748,                 0.7463,                0.44268,                 1.1959,                0.76258,                 1.3198,               0.000887,               0.000887,               0.000887
                     91,                0.77728,                0.55544,                 1.1218,                0.71856,                0.72027,                 0.7025,                0.45324,                 1.1889,                0.79998,                 1.3216,             0.00088288,             0.00088288,             0.00088288
                     92,                0.78058,                0.54959,                 1.1254,                0.65822,                 0.7195,                0.69258,                0.45608,                 1.1951,                0.80591,                 1.3177,             0.00087875,             0.00087875,             0.00087875
                     93,                0.77272,                0.55257,                 1.1198,                0.76502,                0.70999,                0.71378,                0.45575,                  1.196,                 0.7545,                 1.3315,             0.00087462,             0.00087462,             0.00087462
                     94,                0.77605,                0.55208,                 1.1251,                0.70464,                0.72217,                0.71955,                0.46485,                   1.21,                0.74696,                 1.3331,              0.0008705,              0.0008705,              0.0008705
                     95,                0.76696,                0.55046,                 1.1228,                0.80523,                0.69449,                0.73236,                0.45707,                 1.2053,                0.79942,                 1.3376,             0.00086637,             0.00086637,             0.00086637
                     96,                0.77426,                0.55361,                 1.1272,                0.76547,                0.71774,                0.72102,                0.45299,                 1.2075,                0.79228,                 1.3405,             0.00086225,             0.00086225,             0.00086225
                     97,                0.76633,                0.54475,                  1.121,                0.70646,                 0.6905,                0.67449,                0.42639,                 1.2203,                0.83247,                  1.349,             0.00085813,             0.00085813,             0.00085813
                     98,                 0.7747,                0.55046,                 1.1277,                0.79641,                0.73088,                0.73029,                0.46897,                 1.1951,                0.73406,                 1.3378,               0.000854,               0.000854,               0.000854
                     99,                0.76264,                0.54545,                 1.1186,                0.76202,                0.72546,                0.72434,                0.44256,                 1.2163,                0.81761,                 1.3402,             0.00084988,             0.00084988,             0.00084988
                    100,                 0.7609,                0.53212,                 1.1121,                0.78016,                0.70685,                0.73013,                0.44261,                 1.2293,                0.80216,                 1.3499,             0.00084575,             0.00084575,             0.00084575
                    101,                0.77778,                0.54646,                  1.121,                0.67672,                0.73294,                0.69783,                0.45138,                 1.1974,                0.77258,                 1.3285,             0.00084162,             0.00084162,             0.00084162
                    102,                0.76722,                0.53501,                 1.1161,                0.76805,                0.72349,                 0.7415,                0.47425,                 1.1885,                0.76397,                 1.3201,              0.0008375,              0.0008375,              0.0008375
                    103,                0.76243,                0.53033,                 1.1153,                0.80905,                0.68665,                0.71608,                0.45313,                 1.2091,                0.77349,                 1.3298,             0.00083337,             0.00083337,             0.00083337
                    104,                0.76588,                0.53975,                 1.1167,                0.80792,                 0.6634,                0.72524,                 0.4524,                 1.2249,                0.77885,                 1.3421,             0.00082925,             0.00082925,             0.00082925
                    105,                0.75441,                0.53531,                  1.115,                0.74452,                0.71151,                0.73087,                 0.4602,                 1.1963,                0.77899,                 1.3359,             0.00082513,             0.00082513,             0.00082513
                    106,                0.75643,                0.53395,                 1.1121,                0.78573,                0.69233,                0.70867,                0.44253,                 1.2052,                0.77204,                 1.3383,               0.000821,               0.000821,               0.000821
                    107,                0.75229,                0.52964,                 1.1113,                0.77803,                0.66396,                 0.7005,                 0.4447,                 1.2234,                 0.7857,                 1.3465,             0.00081688,             0.00081688,             0.00081688
                    108,                0.75552,                0.53551,                 1.1103,                0.70785,                0.73689,                0.73226,                0.45199,                 1.1924,                0.74643,                 1.3121,             0.00081275,             0.00081275,             0.00081275
                    109,                0.76533,                0.52695,                 1.1148,                0.70798,                0.75136,                0.73948,                0.45642,                 1.1983,                 0.7531,                 1.3269,             0.00080863,             0.00080863,             0.00080863
                    110,                0.75275,                0.52198,                  1.107,                 0.8261,                  0.743,                0.75756,                0.46553,                 1.2055,                0.75352,                 1.3313,              0.0008045,              0.0008045,              0.0008045
                    111,                0.76418,                0.53444,                 1.1139,                0.72276,                0.65214,                 0.6996,                0.45284,                 1.2062,                0.78516,                 1.3337,             0.00080038,             0.00080038,             0.00080038
                    112,                0.75754,                0.53334,                 1.1121,                0.70318,                0.70277,                 0.7239,                0.46731,                 1.1975,                0.75196,                 1.3251,             0.00079625,             0.00079625,             0.00079625
                    113,                0.74404,                0.53367,                  1.108,                 0.7358,                 0.7467,                0.75962,                0.47195,                 1.2082,                0.75613,                 1.3383,             0.00079213,             0.00079213,             0.00079213
                    114,                0.73351,                0.51088,                 1.1002,                0.75944,                0.73508,                0.73473,                0.47028,                 1.2039,                0.75926,                 1.3388,               0.000788,               0.000788,               0.000788
                    115,                0.74183,                0.51359,                  1.102,                0.74482,                0.72585,                0.73097,                0.45295,                 1.2119,                0.78393,                 1.3242,             0.00078387,             0.00078387,             0.00078387
                    116,                0.74099,                0.51762,                 1.1021,                  0.763,                0.73383,                0.73361,                0.45629,                 1.2107,                0.73634,                 1.3316,             0.00077975,             0.00077975,             0.00077975
                    117,                0.74391,                0.52756,                 1.1032,                0.78953,                0.75077,                0.74492,                0.45174,                 1.2146,                0.76797,                 1.3507,             0.00077563,             0.00077563,             0.00077563
                    118,                0.74086,                0.51695,                 1.0979,                0.79189,                0.77881,                0.76713,                0.46398,                 1.1979,                0.75299,                 1.3283,              0.0007715,              0.0007715,              0.0007715
                    119,                0.74272,                 0.5235,                 1.1095,                0.75563,                0.68736,                0.68921,                0.44875,                 1.2097,                 0.7647,                  1.343,             0.00076738,             0.00076738,             0.00076738
                    120,                0.72577,                0.51148,                 1.0985,                0.69995,                0.70895,                0.71868,                0.44656,                 1.2176,                0.76659,                 1.3484,             0.00076325,             0.00076325,             0.00076325
                    121,                0.74549,                 0.5115,                 1.1021,                0.79713,                 0.7247,                0.74477,                0.46123,                 1.2015,                   0.77,                 1.3337,             0.00075912,             0.00075912,             0.00075912
                    122,                0.73849,                 0.5235,                 1.1021,                0.75673,                0.73608,                0.72272,                0.44945,                 1.2336,                0.77257,                 1.3601,               0.000755,               0.000755,               0.000755
                    123,                0.74087,                0.51934,                 1.1021,                0.78707,                0.65645,                 0.7062,                0.44174,                 1.2308,                 0.7563,                 1.3582,             0.00075088,             0.00075088,             0.00075088
                    124,                0.73424,                0.51281,                 1.1028,                0.83003,                0.67217,                0.72842,                0.45057,                 1.2191,                0.75569,                 1.3522,             0.00074675,             0.00074675,             0.00074675
                    125,                0.73011,                0.50684,                 1.0922,                0.80909,                 0.6217,                0.70116,                0.42836,                 1.2035,                0.78382,                 1.3312,             0.00074263,             0.00074263,             0.00074263
                    126,                0.73943,                0.51199,                 1.1011,                0.76869,                 0.7271,                0.73867,                0.46124,                 1.1861,                0.75599,                 1.3299,              0.0007385,              0.0007385,              0.0007385
                    127,                0.72675,                0.50359,                 1.0901,                0.70085,                0.75129,                0.70008,                0.45061,                 1.2203,                0.77641,                 1.3675,             0.00073437,             0.00073437,             0.00073437
                    128,                0.74019,                0.52118,                 1.1031,                0.71208,                0.77858,                0.73728,                0.44963,                 1.2102,                0.75729,                 1.3433,             0.00073025,             0.00073025,             0.00073025
                    129,                0.73394,                0.51162,                 1.0927,                0.78863,                0.75971,                0.76551,                 0.4652,                 1.2022,                 0.7289,                 1.3451,             0.00072612,             0.00072612,             0.00072612
                    130,                0.72757,                0.50883,                 1.0979,                 0.7773,                0.66147,                0.69306,                 0.4315,                 1.2129,                0.75866,                 1.3601,               0.000722,               0.000722,               0.000722
                    131,                0.72701,                0.50944,                  1.094,                0.75284,                0.72187,                0.74327,                0.45892,                 1.1929,                0.74001,                 1.3273,             0.00071788,             0.00071788,             0.00071788
                    132,                0.72086,                0.50755,                 1.0929,                0.72722,                0.62976,                0.68602,                0.43861,                 1.2071,                  0.759,                 1.3469,             0.00071375,             0.00071375,             0.00071375
                    133,                0.71832,                0.50366,                 1.0923,                0.72796,                0.75269,                0.73232,                 0.4734,                 1.1841,                0.74675,                 1.3251,             0.00070962,             0.00070962,             0.00070962
                    134,                0.72166,                0.50356,                 1.0932,                0.75025,                 0.6993,                0.72465,                 0.4678,                 1.1894,                0.76623,                 1.3279,              0.0007055,              0.0007055,              0.0007055
                    135,                0.71973,                0.49893,                 1.0865,                0.80386,                 0.6864,                0.74776,                0.46548,                 1.1861,                0.74613,                  1.338,             0.00070137,             0.00070137,             0.00070137
                    136,                0.72529,                0.50531,                  1.093,                 0.7426,                0.72939,                0.73745,                  0.479,                 1.2001,                0.76926,                 1.3493,             0.00069725,             0.00069725,             0.00069725
                    137,                0.71053,                0.48759,                 1.0876,                0.81205,                0.68671,                0.73853,                0.46498,                  1.189,                0.75175,                   1.34,             0.00069313,             0.00069313,             0.00069313
                    138,                0.72026,                0.49299,                 1.0876,                 0.8085,                0.74161,                0.74887,                0.47524,                 1.2005,                0.73489,                 1.3362,               0.000689,               0.000689,               0.000689
                    139,                0.71387,                0.49011,                 1.0898,                0.84558,                0.70398,                0.73655,                0.46945,                 1.1998,                0.73872,                 1.3417,             0.00068488,             0.00068488,             0.00068488
                    140,                0.71678,                0.49211,                 1.0883,                0.81068,                0.71186,                0.74023,                0.46703,                 1.2175,                 0.7536,                 1.3734,             0.00068075,             0.00068075,             0.00068075
                    141,                0.72648,                0.50549,                 1.0947,                0.74164,                0.73507,                0.72887,                0.47522,                 1.2117,                0.74747,                 1.3489,             0.00067663,             0.00067663,             0.00067663
                    142,                0.71819,                0.48909,                 1.0866,                0.82213,                0.72592,                0.75155,                0.46973,                 1.2134,                 0.7567,                 1.3552,              0.0006725,              0.0006725,              0.0006725
                    143,                0.70617,                0.49282,                 1.0833,                0.80052,                0.71302,                0.73547,                0.47828,                 1.1888,                0.73763,                 1.3434,             0.00066838,             0.00066838,             0.00066838
                    144,                0.70518,                0.49612,                 1.0845,                0.78947,                0.73779,                 0.7324,                0.47538,                 1.2009,                0.73393,                 1.3461,             0.00066425,             0.00066425,             0.00066425
                    145,                0.70758,                0.49304,                 1.0858,                0.82611,                0.71346,                0.73513,                0.46276,                 1.1946,                  0.722,                  1.354,             0.00066013,             0.00066013,             0.00066013
                    146,                 0.6974,                0.48124,                 1.0763,                 0.7493,                0.66535,                0.69788,                0.43802,                 1.1978,                0.74714,                 1.3509,               0.000656,               0.000656,               0.000656
                    147,                0.71141,                 0.4946,                 1.0841,                0.74249,                 0.6844,                0.69939,                0.43832,                 1.2042,                0.75032,                 1.3354,             0.00065188,             0.00065188,             0.00065188
                    148,                0.70883,                0.48581,                 1.0822,                0.81114,                 0.7166,                0.72557,                0.45171,                 1.2024,                0.73578,                 1.3439,             0.00064775,             0.00064775,             0.00064775
                    149,                0.69922,                0.47645,                  1.077,                0.84538,                0.68301,                0.74446,                0.47596,                 1.1937,                0.73033,                 1.3358,             0.00064362,             0.00064362,             0.00064362
                    150,                0.70087,                 0.4792,                 1.0794,                0.74649,                0.71152,                0.70613,                 0.4629,                 1.1864,                0.72998,                 1.3286,              0.0006395,              0.0006395,              0.0006395
                    151,                0.70391,                 0.4738,                 1.0746,                0.85853,                0.73877,                0.76378,                0.48041,                 1.1753,                0.72848,                  1.325,             0.00063538,             0.00063538,             0.00063538
                    152,                0.70391,                 0.4878,                 1.0828,                0.76502,                 0.7316,                0.72069,                 0.4555,                 1.1838,                0.73475,                 1.3233,             0.00063125,             0.00063125,             0.00063125
                    153,                0.68622,                0.47265,                 1.0737,                0.77152,                0.74783,                0.76311,                0.47849,                 1.1881,                0.75547,                 1.3299,             0.00062713,             0.00062713,             0.00062713
                    154,                0.69763,                0.47854,                 1.0753,                0.77406,                 0.7371,                0.73701,                 0.4731,                 1.1826,                0.70814,                 1.3401,               0.000623,               0.000623,               0.000623
